Sectores de Actividade,N.. Partic. (1 ) SCR,Valor SCR,% SCR,N.. Partic. (1 ) FCR,Valor FCR,% FCR,N.. Partic. (1 ) Total,Valor Total,% Total
"Agricultura, producao animal, caca, floresta e pesca",0,0,0.00%,3,65.9,1.83%,3,65.9,1.76%
Industria extractiva ,0,0,0.00%,20,60.5,1.68%,20,60.5,1.62%
Industria transformadora ,17,10.7,8.44%,382,396.7,10.99%,399,407.4,10.90%
"Eletricidade, gas, vapor, agua quente e fria e ar frio ",0,0,0.00%,18,126.9,3.51%,18,126.9,3.40%
"Captacao, tratamento e distribuicao de agua; saneamento, gestao de residuos e despoluicao ",0,0,0.00%,7,12,0.33%,7,12,0.32%
Construcao ,1,10,7.89%,23,125.1,3.46%,24,135.1,3.61%
Comercio por grosso e a retalho; reparacao de veiculos automoveis e motociclos ,3,0,0.00%,89,171.1,4.74%,92,171.1,4.58%
Transportes e armazenagem ,0,0.6,0.47%,24,38.1,1.06%,24,38.7,1.04%
"Alojamento, restauracao e similares ",3,1.6,1.26%,79,319.6,8.85%,82,321.2,8.59%
Atividades de informacao e de comunicacao ,8,0.2,0.16%,232,171.6,4.75%,240,171.8,4.60%
Atividades financeiras e de seguros ,55,92.3,72.79%,46,145,4.02%,101,237.3,6.35%
SGPS - nao financeiras ,10,5.9,4.65%,229,1339.4,37.10%,239,1345.3,35.99%
Atividades imobiliarias ,3,2.4,1.89%,54,367.9,10.19%,57,370.3,9.91%
"Atividades de consultoria, cientificas, tecnicas e similares ",12,2.2,1.74%,219,178.3,4.94%,231,180.5,4.83%
Atividades administrativas e dos servicos de apoio ,4,0.4,0.32%,42,44.8,1.24%,46,45.2,1.21%
Administracao Publica e Defesa; Seguranca Social Obrigatoria,0,0,0.00%,3,6,0.17%,3,6,0.16%
Educacao ,2,0.3,0.24%,2,4,0.11%,4,4.3,0.12%
Atividades de saude humana e apoio social ,2,0.2,0.16%,8,9.1,0.25%,10,9.3,0.25%
"Atividades artisticas, de espetaculos, desportivas e recreativas ",0,0,0.00%,19,28.7,0.79%,19,28.7,0.77%
Outras atividades de servicos ,1,0,0.00%,0,0,0.00%,1,0,0.00%
Atividades das familias empregadoras de pessoal domestico e atividades de producao das familias para uso proprio ,0,0,0.00%,0,0,0.00%,0,0,0.00%
Atividades dos organismos internacionais e outras instituicoes extra-territoriais ,0,0,0.00%,0,0,0.00%,0,0,0.00%
Total,121,126.8,100.00%,1499,3610.7,100.00%,1620,3737.5,100.00%
