Fase de Investimento,Aquisicoes SCR ,Alienacoes SCR ,Invest. Liquido SCR ,N.. Trans. SCR ,Aquisicoes FCR ,Alienacoes FCR ,Invest. Liquido FCR ,N.. Trans. FCR ,Aquisicoes Total,Alienacoes Total,Invest. Liquido Total,N.. Trans. Total
Seed capital,419.4,-2183.2,-1763.8,0,8415.2,-1265.9,7149.3,67,8834.6,-3449.1,5385.5,67
Start-up,579.7,-3293,-2713.3,4,51995.9,-3431.9,48564,149,52575.6,-6724.9,45850.7,153
Early-stage ,0.1,0,0.1,1,19169.4,-497.7,18671.7,42,19169.5,-497.7,18671.8,43
Expansao ,30,-286.2,-256.2,8,56816.3,-24856.6,31959.7,114,56846.3,-25142.8,31703.5,122
Capital de substituicao ,0,0,0,0,1540.3,-52864.8,-51324.5,12,1540.3,-52864.8,-51324.5,12
Turnaround ,1540,0,1540,1,5393.5,-23.1,5370.4,28,6933.5,-23.1,6910.4,29
Refin. da divida bancaria ,0,0,0,0,0,0,0,0,0,0,0,0
Management buyout ,0,0,0,0,886.7,0,886.7,1,886.7,0,886.7,1
Management buyin ,0,0,0,0,0,-1694.8,-1694.8,3,0,-1694.8,-1694.8,3
Outros ,0,-6.3,-6.3,1,1449.9,-3229.5,-1779.6,29,1449.9,-3235.8,-1785.9,30
Total,2569.2,-5768.7,-3199.5,15,145667.2,-87864.3,57802.9,445,148236.4,-93633,54603.4,460
