Fase de Investimento,N.. Transacoes SCR, =+/- Valia (10^3 Euro) SCR,% SCR,N.. Transacoes FCR, =+/- Valia (10^3 Euro) FCR,% FCR,N.. Transacoes Total, =+/- Valia (10^3 Euro) Total,% Total
Seed capital,1,-14289.8,33.3,38,-6104.2,0.7,39,-20394,2.1
Start-up,21,-15859.2,36.9,94,-23654.2,2.5,115,-39513.4,4
Early-stage,1,0,0,10,-7564.1,0.8,11,-7564.1,0.8
Expansao,16,-12125.8,28.2,78,-168838.7,18.1,94,-180964.5,18.5
Capital de substituicao,0,0,0,26,-8587.6,0.9,26,-8587.6,0.9
Turnaround,0,0,0,46,-744998.1,79.9,46,-744998.1,76.3
Refin. da divida bancaria,0,0,0,0,0,0,0,0,0
Management buyout,0,0,0,1,0,0,1,0,0
Management buyin,0,0,0,6,-1077.1,0.1,6,-1077.1,0.1
Outros,10,-701.4,1.6,37,27828.4,-3,47,27127,-2.8
Total,49,-42976.2,100,336,-932995.6,100,385,-975971.8,99.9
