Metodologia de Valorizacao,SCR,FCR,Total
Valor de aquisicao,0,0,0
Preco de mercado,0,0,0
Transacoes relevantes,0,48256.4,48256.4
Multiplos,-534.8,-82382.7,-82917.5
Fluxos de caixa descontados (DCF),-29917.6,-524093.5,-554011.1
NAV,-13438.7,-76685,-90123.7
Valor de aquisicao (fator de desconto),0,0,0
Preco de mercado (fator de desconto),0,32.1,32.1
Transaccoes relevantes (fator de desconto),0,0,0
Multiplos (fator de desconto),5599.3,96238.2,101837.5
Fluxos de caixa descontados (DCF) (fator de desconto),0,-63878.1,-63878.1
NAV (fator de desconto),0,0,0
Total,-38291.8,-602512.6,-640804.4
