Entidade Gestora,Quota de Mercado Global 2015,Quota de Mercado (SCR) 2015,Quota de Mercado (FCR) 2015,N.. FCR Geridos 2015,Dimensao Media FCR 2015 (10^6 Euro),N.. FCR Geridos 2014,Dimensao Media FCR 2014 (10^6 Euro),var Dimensao Media FCR 2015/2014
"2BPARTNER - Sociedade de Capital de Risco, SA",0.10%,0.60%,0.10%,1,3.4,1,2.5,35.30%
"Agrocapital - Sociedade de Capital de Risco, SA",0.30%,0.50%,0.30%,1,13.3,1,14.5,-7.90%
"Atena Equity Partners - Sociedade de Capital de Risco, S.A.",0.00%,0.10%,0.00%,1,1.3,1,0.1,864.90%
"Azimuth Investments, SCR, SA",0.00%,0.00%,0.00%,0,- ,0,- ,-
"Banif Capital - Sociedade de Capital de Risco, SA",1.30%,1.80%,1.20%,3,16.5,3,14.6,13.30%
"BCP Capital - Sociedade de Capital de Risco, SA",1.90%,4.30%,1.70%,2,34.7,2,20.7,67.30%
"Bem Comum - Sociedade de Capital de Risco, SA",0.00%,0.10%,0.00%,1,0.9,1,0.9,0.00%
"Beta - Sociedade de Capital de Risco, SA",0.10%,0.80%,0.00%,1,0.8,2,1.3,-38.40%
"BIZ Capital - Sociedade de Capital de Risco, SA",0.10%,0.00%,0.20%,1,6,1,4.6,29.40%
"Blue Catching - Sociedade de Capital de Risco, Sa",0.00%,0.00%,0.00%,1,1,0,- ,-
"BPI Private Equity - Sociedade Capital de Risco, SA",1.00%,17.10%,0.00%,0,- ,0,- ,-
"Busy Angels, SCR, S.A",0.10%,0.30%,0.00%,1,1.6,0,- ,-
"Caixa Capital - Sociedade de Capital de Risco, SA",10.80%,10.30%,10.80%,5,86,4,114.2,-24.60%
"Caixa Central - Caixa Central de Credito Agricola Mutuo, Crl",0.10%,0.00%,0.10%,1,2.2,1,2.2,-1.10%
"Capital Criativo - Sociedade de Capital de Risco, SA",1.80%,0.80%,1.90%,2,36.7,2,21.4,71.60%
"Change Partners - SCR, SA",0.60%,2.90%,0.40%,2,8.3,2,7.5,10.90%
"Critical Ventures - Sociedade de Capital de Risco, SA",0.20%,0.10%,0.20%,1,7.4,1,6.5,14.40%
"Dunas Capital - Gestao de Activos - Sociedade Gestora de Fundos de Investimento Mobiliario, SA",2.30%,0.00%,2.50%,1,98.6,0,- ,-
"ECS - Sociedade de Capital de Risco, SA",30.00%,3.80%,31.70%,3,418.5,3,426.4,-1.90%
"ERIGO - Sociedade de Capital de Risco, SA",0.30%,0.00%,0.30%,2,5.5,1,2.6,109.10%
"Espirito Santo Ventures - Sociedade de Capital de Risco, SA",4.50%,2.90%,4.60%,6,30.6,6,29.3,4.30%
"Explorer Investments - Sociedade de Capital de Risco, SA",8.00%,4.70%,8.20%,4,81,4,62.2,30.20%
"Famigeste - SCR, SA",0.00%,0.10%,0.00%,0,- ,0,- ,-
"Gepasa - SCR, SA",0.00%,0.10%,0.00%,0,-,0,- ,- 
"Global Reach Investments - SCR, SA",0.00%,0.10%,0.00%,0,-,0,- ,- 
"Grande Enseada Capital Partners, Sociedade de Capital de Risco, SA",0.00%,0.00%,0.00%,0,-,0,- ,- 
"Haitong Capital - SCR, S.A",3.90%,18.60%,2.90%,3,38.9,3,42.2,-8.00%
"Hovione Capital, Sociedade de Capital de Risco, S.A",0.00%,0.30%,0.00%,0,-,0,- ,- 
"Inter Risco - Sociedade de Capital de Risco, SA",1.40%,0.60%,1.40%,3,18.5,3,17.3,7.30%
"ISQ - Sociedade de Capital de Risco, SA",0.30%,0.30%,0.30%,4,3.1,4,2.9,8.80%
"LYNX Asset Managers - Sociedade Gestora de Fundos de Investimento Mobiliario, S.A",1.70%,0.00%,1.80%,8,8.7,1,2.8,206.40%
"Menlo Capital - Sociedade de Capital de Risco, S.A.",0.40%,0.60%,0.40%,1,16.8,1,5.3,216.40%
"Montepio - Capital de Risco, SCR, S.A",0.30%,0.20%,0.30%,1,12.1,0,-,-
"Naves - Sociedade de Capital de Risco, SA",0.00%,0.60%,0.00%,0,-,0,-,-
"Novabase Capital - Sociedade de Capital de Risco, SA",0.50%,2.80%,0.30%,2,6.4,2,7,-8.40%
"ONETIER PARTNERS, SCR, SA",0.00%,0.30%,0.00%,0,-,0,-,-
"OXY CAPITAL - SOCIEDADE DE CAPITAL DE RISCO, S.A.",20.30%,3.80%,21.30%,4,210.9,4,166.5,26.70%
"Patris Gestao de Activos - Sociedade Gestora de Fundos de Investimento Mobiliario, SA",0.80%,0.00%,0.80%,2,16.1,2,16,1.00%
"Portugal Capital Ventures - Sociedade de Capital de Risco, SA",7.00%,20.50%,6.20%,17,14.4,16,12.8,12.50%
"Vallis Capital Partners - SCR, SA",0.00%,0.00%,0.00%,0,- ,0,- ,-
Total,100.10%,100.00%,99.90%,85,"46,7",72,"48,0","-2,8%"
