,SCR,var 2015/2014,FCR,var 2015/2014,Total,var 2015/2014
Valor dos Investimentos,126.7,"-53,0% ",3610.8,"17,2%",3737.6,"11,6%"
Participacoes Sociais (acoes e quotas),30.7,"-87,9%",952.4,"20,8%",983.2,"-5,8%"
Em Empresas Residentes,26.8,"-44,7% ",721.7,"21,5% ",748.6,"16,5%"
Em Empresas Nao Residentes,3.9,"-98,1% ",230.7,"18,6% ",234.6,"-41,5%"
Outros Investimentos (1 ),5.9,"-59,1% ",2606.6,"13,7% ",2612.5,"13,3%"
Em Empresas Residentes,5.9,"-51,7% ",2603.8,"13,8% ",2609.7,"13,4%"
Em Empresas Nao Residentes,0,"-100,0% ",2.8,"-21,1% ",2.8,"-51,9%"
Investimento em UP de FCR,90.1,"1,9% ",51.8,"19,0% ",141.9,"7,5%"
Depositos e Outros Meios Liquidos Afectos a CR,91.7,"-28,7% ",373.7,"24,1% ",465.4,"8,3%"
Outros (2 ),26.6,"-48,5% ",-18.4,"-162,6% ",8.2,"-89,9%"
Total,245,"-54,5%",3966.1,"14,8% ",4211.2,"5,5%"
